"시점",이용률,주이용 SNS 서비스,주이용 SNS 서비스,주이용 SNS 서비스,주이용 SNS 서비스,주이용 SNS 서비스,주이용 SNS 서비스,주이용 SNS 서비스,주이용 SNS 서비스,주이용 SNS 서비스,주이용 SNS 서비스
"시점",소계,블로그(네이버 다음 등),페이스북, 카카오스토리, 인스타그램, 네이버 밴드, 카페(네이버 다음 등), 트위터,틱톡(TikTok),젠리(Zenly),기타 서비스
"2021",79.7,13.0,61.3,30.4,57.7,30.7,12.4,8.3,4.6,-,0.0
"2022",76.6,14.7,47.5,22.0,52.1,32.9,11.2,5.8,5.0,0.1,0.0
"2023",69.4,14.1,58.3,33.8,67.0,25.9,12.0,13.5,6.9,0.4,0.0
"2024",68.1,23.4,30.9,22.2,63.6,27.7,17.8,3.6,11.6,0.3,0.1
"2025",74.3,7.9,35.2,14.0,67.6,20.5,16.4,4.5,15.5,-,5.9
